ESP_V (kV),V2,V1,R,Dp1,Dp2,Zp1,Zp2,z1_raw,z1_raw_error,N_deconv,f1,R_conv,z1
11.0,250,1502,8.0790365,45.211133,43.548602413525415,1.1307287081808611e-07,1.2362447540987813e-07,1,0.09331685412463601,5.545862097560508e-13,9.485326320605855e-16,1.5385927237117805,21
11.0,250,1652,6.485951,47.574886,43.548602413525415,1.0280596366148023e-07,1.2362447540987813e-07,1,0.20250295806517893,4.515320568883465e-14,7.722746848834e-17,0.8386701783631925,23
11.0,250,1802,5.511368,49.844984,43.548602413525415,9.424830852872661e-08,1.2362447540987813e-07,1,0.31168906200572166,1.1130978544203502e-13,1.903779104169847e-16,0.13888893153598067,25
11.0,250,1951,4.5250725,52.045355,43.548602413525415,8.705046231100223e-08,1.2362447540987813e-07,1,0.420147258586661,4.84487289183867e-13,8.286394351774765e-16,9.319519163837756e-16,27
11.0,250,2101,3.5390385,54.172056,43.548602413525415,8.083553163672792e-08,1.2362447540987813e-07,1,0.5293333625272038,1.890028315538217e-13,3.232596666251563e-16,1.87471306145505e-27,29
11.0,250,2251,2.799467,56.237026,43.548602413525415,7.544889025711477e-08,1.2362447540987813e-07,1,0.6385194664677467,1.8807661279475835e-13,3.216755148703107e-16,1.2807513663396313e-27,31
11.0,250,2401,2.267756,58.246453,43.548602413525415,7.073529861256365e-08,1.2362447540987813e-07,1,0.7477055704082898,1.8929390332443214e-13,3.237574991854306e-16,1.1521023559436755e-15,33
11.0,250,2550,2.110846,60.205577,43.548602413525415,6.660213802696679e-08,1.2362447540987813e-07,1,0.8561637669892292,6.232661481639372e-13,1.0659988827566624e-15,1.544532154759292e-58,35
11.0,250,2700,2.0517095,62.118885,43.548602413525415,6.290201924769088e-08,1.2362447540987813e-07,1,0.9653498709297715,1.3292714711278374e-13,2.2735101325122297e-16,1.1469706979906327e-15,37
11.0,250,2850,2.0176435,63.984939,43.548602413525415,5.959138665570714e-08,1.2362447540987813e-07,1,1.0745359748703145,1.4927783753008014e-14,2.5531630186586066e-17,5.786170069465732e-16,39
11.0,250,3000,1.9383425,65.816925,43.548602413525415,5.6611817322921784e-08,1.2362447540987813e-07,1,1.1837220788108573,3.018919893422081e-13,5.163388454515148e-16,6.754100750884374e-15,41
11.0,500,5,1.8826135000000002,2.447685,63.02949098931892,3.3967090393753065e-05,6.181223770493906e-08,550,0.0008726194567610626,19.203819134958934,0.03284511729512816,1.2046634778820967e-14,1
11.0,500,154,2.2431785,13.852126,63.02949098931892,1.1028276101867882e-06,6.181223770493906e-08,18,0.008879600412414713,346.98260283836237,0.5934592598223432,0.5999212641776144,3
11.0,500,304,2.7187635,19.59787,63.02949098931892,5.586692498972545e-07,6.181223770493906e-08,9,0.004222732060473673,210.09002751001876,0.35932600424993655,1.66119272597507,5
11.0,500,454,60.072855000000004,24.094931,63.02949098931892,3.7408689860961534e-07,6.181223770493906e-08,6,0.0085901762181031,32.45942947566298,0.0555167574204177,16.192846609546983,7
11.0,500,604,207.8943825,27.9457,63.02949098931892,2.8118452312709494e-07,6.181223770493906e-08,5,0.09914011300342479,1.427825400692014,0.002442071154342438,20.357390105977746,9
11.0,500,753,211.9218035,31.377293,63.02949098931892,2.2554508893594335e-07,6.181223770493906e-08,4,0.096228483565005,0.507352781551017,0.000867747269589577,22.262596732127683,11
11.0,500,903,171.554776,34.509366,63.02949098931892,1.8807912731867702e-07,6.181223770493906e-08,3,0.014049481415139892,0.420147564561142,0.0007185964386715022,45.70174879134098,13
11.0,500,1053,98.350747,37.423201,63.02949098931892,1.61287228840233e-07,6.181223770493906e-08,3,0.14972967449596639,1.180171019111298,0.0020184972207146546,26.285342630539215,15
11.0,500,1203,59.4660995,40.156354,63.02949098931892,1.4117660180279745e-07,6.181223770493906e-08,2,0.12432744639528479,1.9401944736610917,0.003318398002757188,2.8383466862929367,17
11.0,500,1352,38.418746,42.744274,63.02949098931892,1.2561793784671993e-07,6.181223770493906e-08,2,0.015869249814152254,1.8197869618042672,0.003112459859809749,2.1319243635188592e-13,19
11.0,500,1502,24.9577065,45.211133,63.02949098931892,1.1307287081808611e-07,6.181223770493906e-08,2,0.09331685412658533,1.0597635072546114,0.0018125590777674518,2.0638681921139283e-13,21
11.0,500,1652,14.798413,47.574886,63.02949098931892,1.0280596366148023e-07,6.181223770493906e-08,2,0.2025029580673229,0.29974005270438575,0.0005126582957241801,1.388394587529443e-13,23
