ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,304,750,3,1.741773,19.59787,78.68725279369392,5.57415458e-07
11.0,454,750,3,5.425128,24.094931,78.68725279369392,3.73655492e-07
11.0,604,750,3,139.238502,27.9457,78.68725279369392,2.81014912e-07
11.0,753,750,3,247.588517,31.377293,78.68725279369392,2.25184752e-07
11.0,903,750,3,235.979682,34.509366,78.68725279369392,1.87861657e-07
11.0,1053,750,3,192.287829,37.423201,78.68725279369392,1.6115168e-07
11.0,1203,750,3,134.340301,40.156354,78.68725279369392,1.41091444e-07
11.0,1352,750,3,90.310759,42.744274,78.68725279369392,1.25472561e-07
11.0,1502,750,3,57.741483,45.211133,78.68725279369392,1.1296706e-07
11.0,1652,750,3,33.273227,47.574886,78.68725279369392,1.02728405e-07
11.0,1802,750,3,22.307564,49.844984,78.68725279369392,9.4191458e-08
11.0,1951,750,3,13.613398,52.045355,78.68725279369392,8.6964523e-08
11.0,2101,750,3,11.428249,54.172056,78.68725279369392,8.076755e-08
11.0,2251,750,3,9.72996,56.237026,78.68725279369392,7.5395006e-08
11.0,2401,750,3,5.488205,58.246453,78.68725279369392,7.0692631e-08
11.0,2550,750,3,4.557518,60.205577,78.68725279369392,6.6542392e-08
11.0,2700,750,3,6.915859,62.118885,78.68725279369392,6.2852437e-08
11.0,2850,750,3,5.211982,63.984939,78.68725279369392,5.9550217e-08
11.0,3000,750,3,3.898768,65.816925,78.68725279369392,5.6577669e-08
11.0,5,3500,3,2.244789,2.447685,196.3102140483639,3.3946601e-05
11.0,154,3500,3,2.217301,13.852126,196.3102140483639,1.096821e-06
11.0,304,3500,3,2.27825,19.59787,196.3102140483639,5.57415458e-07
11.0,454,3500,3,2.316789,24.094931,196.3102140483639,3.73655492e-07
11.0,604,3500,3,2.761422,27.9457,196.3102140483639,2.81014912e-07
11.0,753,3500,3,6.283602,31.377293,196.3102140483639,2.25184752e-07
11.0,903,3500,3,106.949162,34.509366,196.3102140483639,1.87861657e-07
11.0,1053,3500,3,249.003246,37.423201,196.3102140483639,1.6115168e-07
11.0,1203,3500,3,344.733593,40.156354,196.3102140483639,1.41091444e-07
11.0,1352,3500,3,393.418366,42.744274,196.3102140483639,1.25472561e-07
11.0,1502,3500,3,345.047209,45.211133,196.3102140483639,1.1296706e-07
11.0,1652,3500,3,232.068935,47.574886,196.3102140483639,1.02728405e-07
11.0,1802,3500,3,137.714426,49.844984,196.3102140483639,9.4191458e-08
11.0,1951,3500,3,83.570274,52.045355,196.3102140483639,8.6964523e-08
11.0,2101,3500,3,56.597642,54.172056,196.3102140483639,8.076755e-08
11.0,2251,3500,3,48.957432,56.237026,196.3102140483639,7.5395006e-08
11.0,2401,3500,3,35.842007,58.246453,196.3102140483639,7.0692631e-08
11.0,2550,3500,3,28.812164,60.205577,196.3102140483639,6.6542392e-08
11.0,2700,3500,3,24.046107,62.118885,196.3102140483639,6.2852437e-08
11.0,2850,3500,3,18.081218,63.984939,196.3102140483639,5.9550217e-08
11.0,3000,3500,3,15.724115,65.816925,196.3102140483639,5.6577669e-08
11.0,5,1250,3,1.705011,2.447685,104.95495254029636,3.3946601e-05
11.0,154,1250,3,1.698612,13.852126,104.95495254029636,1.096821e-06
11.0,304,1250,3,1.704554,19.59787,104.95495254029636,5.57415458e-07
11.0,454,1250,3,1.97636,24.094931,104.95495254029636,3.73655492e-07
11.0,604,1250,3,7.380778,27.9457,104.95495254029636,2.81014912e-07
11.0,753,1250,3,142.518538,31.377293,104.95495254029636,2.25184752e-07
11.0,903,1250,3,217.742124,34.509366,104.95495254029636,1.87861657e-07
11.0,1053,1250,3,251.664548,37.423201,104.95495254029636,1.6115168e-07
